preCount,fCount,sCount,temperature,weatherType,wind,humidity,barometer,visibility,crash,crime,parkEvent,count
0.0, 12.0, 15.0, -2.0, 3.0, 8.0, 0.85, 30.32, 11.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 27.0, -2.0, 3.0, 8.0, 0.85, 30.32, 13.0, 0.0, 0.0, 0.0, 0.0
0.0, 12.0, 26.0, -2.0, 3.0, 8.0, 0.85, 30.32, 13.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 17.0, -2.0, 3.0, 8.0, 0.85, 30.32, 13.0, 0.0, 0.0, 0.0, 0.0
0.0, 18.0, 13.0, -2.0, 3.0, 8.0, 0.85, 30.32, 13.0, 0.0, 0.0, 0.0, 0.0
0.0, 13.0, 36.0, -2.0, 3.0, 8.0, 0.85, 30.32, 13.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 5.0, -2.0, 3.0, 8.0, 0.85, 30.32, 13.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 33.0, -2.0, 3.0, 8.0, 0.85, 30.34, 13.0, 0.0, 0.0, 0.0, 0.0
0.0, 13.0, 9.0, -2.0, 3.0, 8.0, 0.85, 30.34, 13.0, 0.0, 0.0, 0.0, 0.0
0.0, 13.0, 23.0, -2.0, 3.0, 8.0, 0.85, 30.34, 13.0, 0.0, 0.0, 0.0, 0.0
0.0, 2.0, 19.0, -2.0, 3.0, 8.0, 0.85, 30.34, 13.0, 0.0, 0.0, 0.0, 0.0
0.0, 13.0, 22.0, -2.0, 3.0, 8.0, 0.85, 30.34, 13.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, -2.0, 3.0, 8.0, 0.85, 30.34, 13.0, 0.0, 0.0, 0.0, 0.0
0.0, 16.0, 22.0, -2.0, 3.0, 6.0, 0.85, 30.35, 14.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 21.0, -2.0, 3.0, 6.0, 0.85, 30.35, 14.0, 0.0, 0.0, 0.0, 0.0
